,epsilon,mass,n_expected
344,1.584893192461098e-06,0.05390710204081633,122.82346958222472
345,1.7782794100389047e-06,0.05390710204081633,190.82253634168256
346,1.9952623149688584e-06,0.05390710204081633,290.38183728500405
347,2.2387211385683147e-06,0.05390710204081633,443.3595401807302
348,2.5118864315095514e-06,0.05390710204081633,672.4372649418988
349,2.8183829312644204e-06,0.05390710204081633,999.3825555319032
350,3.1622776601683407e-06,0.05390710204081633,1440.939024611538
351,3.5481338923357097e-06,0.05390710204081633,2081.1930313700504
352,3.98107170553492e-06,0.05390710204081633,2890.9812914275026
353,4.466835921509571e-06,0.05390710204081633,3929.8333937062253
354,5.011872336272653e-06,0.05390710204081633,5135.957184443416
355,5.62341325190341e-06,0.05390710204081633,6428.117842769188
356,6.30957344480184e-06,0.05390710204081633,7590.682503678097
357,7.079457843841272e-06,0.05390710204081633,8471.213420425074
358,7.943282347242691e-06,0.05390710204081633,8785.42818025333
359,8.912509381337314e-06,0.05390710204081633,8404.488695453707
360,9.999999999999836e-06,0.05390710204081633,7565.782547196314
361,1.1220184543019445e-05,0.05390710204081633,6230.513538597053
362,1.2589254117941456e-05,0.05390710204081633,4735.487432616647
363,1.4125375446227294e-05,0.05390710204081633,3373.5716918216035
364,1.584893192461085e-05,0.05390710204081633,2228.416402184475
365,1.77827941003889e-05,0.05390710204081633,1334.5290655432545
366,1.995262314968842e-05,0.05390710204081633,753.471441983626
367,2.2387211385682966e-05,0.05390710204081633,385.40683253339756
368,2.5118864315095307e-05,0.05390710204081633,183.53260858377428
369,2.8183829312643973e-05,0.05390710204081633,66.33515674300007
370,3.1622776601683145e-05,0.05390710204081633,27.46312609504632
371,3.548133892335681e-05,0.05390710204081633,6.980501631551281
372,3.981071705534888e-05,0.05390710204081633,1.8543837894696966
373,4.4668359215095345e-05,0.05390710204081633,0.28308775526803004
374,5.011872336272612e-05,0.05390710204081633,0.06727682658390381
375,5.623413251903364e-05,0.05390710204081633,0.008829672263511673
376,6.309573444801788e-05,0.05390710204081633,0.0006383863278666244
377,7.079457843841215e-05,0.05390710204081633,1.2988256308871452e-05
378,7.943282347242627e-05,0.05390710204081633,4.683053041854998e-09
379,8.91250938133724e-05,0.05390710204081633,1.6856246910004755e-10
380,9.999999999999755e-05,0.05390710204081633,4.122798684593863e-14
381,0.00011220184543019355,0.05390710204081633,9.938587318396967e-21
382,0.00012589254117941352,0.05390710204081633,9.570926533752639e-25
383,0.0001412537544622718,0.05390710204081633,4.612385957766055e-26
384,0.0001584893192461072,0.05390710204081633,6.583301978907585e-36
385,0.00017782794100388755,0.05390710204081633,1.6519774049706704e-40
386,0.00019952623149688256,0.05390710204081633,6.274910203205913e-64
387,0.00022387211385682782,0.05390710204081633,3.108670379969641e-78
388,0.000251188643150951,0.05390710204081633,8.20406206663853e-110
389,0.0002818382931264374,0.05390710204081633,2.6594128559838034e-135
390,0.0003162277660168289,0.05390710204081633,1.4888392608914478e-150
391,0.00035481338923356513,0.05390710204081633,2.984568940750486e-232
392,0.00039810717055348553,0.05390710204081633,1.3418539904620224e-213
393,0.00044668359215094977,0.05390710204081633,0.0
394,0.0005011872336272571,0.05390710204081633,0.0
395,0.0005623413251903319,0.05390710204081633,0.0
396,0.0006309573444801737,0.05390710204081633,0.0
397,0.0007079457843841156,0.05390710204081633,0.0
398,0.0007943282347242562,0.05390710204081633,0.0
399,0.0008912509381337168,0.05390710204081633,0.0
400,1e-07,0.0648838775510204,0.0034097693837546895
401,1.122018454301963e-07,0.0648838775510204,0.005423262444224691
402,1.2589254117941662e-07,0.0648838775510204,0.00855812782890867
403,1.4125375446227526e-07,0.0648838775510204,0.013549672243941284
404,1.584893192461111e-07,0.0648838775510204,0.021571426108758528
405,1.7782794100389192e-07,0.0648838775510204,0.03415788508943288
406,1.9952623149688747e-07,0.0648838775510204,0.05366611466942904
407,2.2387211385683332e-07,0.0648838775510204,0.08502104388431554
408,2.5118864315095717e-07,0.0648838775510204,0.134614119554296
409,2.8183829312644433e-07,0.0648838775510204,0.21276709846654857
410,3.1622776601683665e-07,0.0648838775510204,0.34011618037382646
411,3.548133892335739e-07,0.0648838775510204,0.537520191109232
412,3.981071705534953e-07,0.0648838775510204,0.8492466807365093
413,4.4668359215096073e-07,0.0648838775510204,1.3437393312141968
414,5.011872336272694e-07,0.0648838775510204,2.1217449012368617
415,5.623413251903456e-07,0.0648838775510204,3.362948612319193
416,6.309573444801892e-07,0.0648838775510204,5.295852394049674
417,7.07945784384133e-07,0.0648838775510204,8.308906339453795
418,7.943282347242756e-07,0.0648838775510204,13.142082918863423
419,8.912509381337386e-07,0.0648838775510204,20.62113851806155
420,9.99999999999992e-07,0.0648838775510204,32.05354116143319
421,1.1220184543019537e-06,0.0648838775510204,50.24516091783481
422,1.258925411794156e-06,0.0648838775510204,78.25264442693313
423,1.412537544622741e-06,0.0648838775510204,120.969102474721
424,1.584893192461098e-06,0.0648838775510204,186.27739415319516
425,1.7782794100389047e-06,0.0648838775510204,283.83781237440814
426,1.9952623149688584e-06,0.0648838775510204,428.10957754053254
427,2.2387211385683147e-06,0.0648838775510204,642.1282560482457
428,2.5118864315095514e-06,0.0648838775510204,947.1694591952106
429,2.8183829312644204e-06,0.0648838775510204,1369.2079664827527
430,3.1622776601683407e-06,0.0648838775510204,1910.5590690513864
431,3.5481338923357097e-06,0.0648838775510204,2649.614945525971
432,3.98107170553492e-06,0.0648838775510204,3495.9387065169026
433,4.466835921509571e-06,0.0648838775510204,4455.9577500276055
434,5.011872336272653e-06,0.0648838775510204,5367.601304540596
