# FONLL heavy quark hadroproduction cross section
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# beauty to B to J_Psi meson
# BR(q->meson) = 0.7
# BR(B->J/psi) = 0.0116
# theta_min, theta_max, p_min[GeV], p_max[GeV], xsec[pb]
1.211e-03,1.153e-03,2.891e+03,3.471e+03,2.865e+01
1.092e-03,1.039e-03,3.207e+03,3.849e+03,1.254e+01
9.843e-04,9.371e-04,3.556e+03,4.268e+03,4.499e+00
8.875e-04,8.450e-04,3.944e+03,4.734e+03,1.454e+00
8.003e-04,7.620e-04,4.373e+03,5.249e+03,3.794e-01
7.216e-04,6.871e-04,4.850e+03,5.822e+03,6.459e-02
6.508e-04,6.196e-04,5.378e+03,6.456e+03,3.838e-03
1.122e-02,1.054e-02,3.565e+02,4.269e+02,4.894e+03
1.012e-02,9.506e-03,3.953e+02,4.734e+02,4.335e+03
9.124e-03,8.572e-03,4.384e+02,5.250e+02,3.812e+03
8.228e-03,7.729e-03,4.862e+02,5.822e+02,3.324e+03
7.419e-03,6.969e-03,5.392e+02,6.457e+02,2.876e+03
6.690e-03,6.285e-03,5.979e+02,7.160e+02,2.465e+03
6.032e-03,5.667e-03,6.631e+02,7.941e+02,2.094e+03
5.439e-03,5.110e-03,7.354e+02,8.806e+02,1.760e+03
4.905e-03,4.608e-03,8.156e+02,9.766e+02,1.464e+03
4.423e-03,4.155e-03,9.044e+02,1.083e+03,1.204e+03
3.988e-03,3.747e-03,1.003e+03,1.201e+03,9.785e+02
3.596e-03,3.379e-03,1.112e+03,1.332e+03,7.836e+02
3.243e-03,3.046e-03,1.234e+03,1.477e+03,6.180e+02
2.924e-03,2.747e-03,1.368e+03,1.638e+03,4.789e+02
2.637e-03,2.477e-03,1.517e+03,1.817e+03,3.631e+02
2.378e-03,2.234e-03,1.682e+03,2.015e+03,2.676e+02
2.144e-03,2.014e-03,1.866e+03,2.234e+03,1.904e+02
1.933e-03,1.816e-03,2.069e+03,2.478e+03,1.302e+02
1.743e-03,1.638e-03,2.295e+03,2.748e+03,8.453e+01
1.572e-03,1.477e-03,2.545e+03,3.047e+03,5.081e+01
1.417e-03,1.332e-03,2.822e+03,3.380e+03,2.692e+01
1.278e-03,1.201e-03,3.130e+03,3.748e+03,1.186e+01
1.152e-03,1.083e-03,3.471e+03,4.156e+03,3.950e+00
1.039e-03,9.763e-04,3.849e+03,4.609e+03,1.002e+00
9.370e-04,8.803e-04,4.269e+03,5.112e+03,2.434e-01
8.450e-04,7.939e-04,4.734e+03,5.669e+03,4.488e-02
7.619e-04,7.158e-04,5.250e+03,6.287e+03,4.397e-03
1.169e-02,1.088e-02,3.849e+02,4.596e+02,3.604e+03
1.054e-02,9.810e-03,4.269e+02,5.097e+02,3.172e+03
9.505e-03,8.846e-03,4.734e+02,5.652e+02,2.770e+03
8.572e-03,7.977e-03,5.250e+02,6.268e+02,2.400e+03
7.729e-03,7.193e-03,5.822e+02,6.952e+02,2.059e+03
6.969e-03,6.486e-03,6.457e+02,7.709e+02,1.752e+03
6.284e-03,5.848e-03,7.161e+02,8.550e+02,1.475e+03
5.667e-03,5.274e-03,7.941e+02,9.481e+02,1.229e+03
5.110e-03,4.755e-03,8.807e+02,1.051e+03,1.012e+03
4.608e-03,4.288e-03,9.766e+02,1.166e+03,8.226e+02
4.155e-03,3.866e-03,1.083e+03,1.293e+03,6.603e+02
3.747e-03,3.487e-03,1.201e+03,1.434e+03,5.219e+02
3.378e-03,3.144e-03,1.332e+03,1.590e+03,4.053e+02
3.046e-03,2.835e-03,1.477e+03,1.764e+03,3.085e+02
2.747e-03,2.556e-03,1.638e+03,1.956e+03,2.290e+02
2.477e-03,2.305e-03,1.817e+03,2.169e+03,1.640e+02
2.233e-03,2.079e-03,2.015e+03,2.406e+03,1.125e+02
2.014e-03,1.874e-03,2.234e+03,2.668e+03,7.355e+01
1.816e-03,1.690e-03,2.478e+03,2.959e+03,4.529e+01
1.638e-03,1.524e-03,2.748e+03,3.281e+03,2.537e+01
1.477e-03,1.374e-03,3.048e+03,3.639e+03,1.199e+01
1.332e-03,1.239e-03,3.380e+03,4.035e+03,4.222e+00
1.201e-03,1.117e-03,3.748e+03,4.475e+03,8.323e-01
1.083e-03,1.008e-03,4.156e+03,4.962e+03,1.252e-01
9.762e-04,9.085e-04,4.610e+03,5.504e+03,2.040e-02
8.803e-04,8.193e-04,5.112e+03,6.103e+03,2.282e-03
1.206e-02,1.115e-02,4.145e+02,4.933e+02,2.650e+03
1.088e-02,1.006e-02,4.596e+02,5.470e+02,2.317e+03
9.809e-03,9.067e-03,5.097e+02,6.066e+02,2.010e+03
8.846e-03,8.176e-03,5.652e+02,6.727e+02,1.729e+03
7.976e-03,7.372e-03,6.269e+02,7.461e+02,1.473e+03
7.193e-03,6.648e-03,6.952e+02,8.273e+02,1.242e+03
6.485e-03,5.994e-03,7.710e+02,9.175e+02,1.037e+03
5.848e-03,5.405e-03,8.550e+02,1.017e+03,8.559e+02
5.273e-03,4.874e-03,9.482e+02,1.128e+03,6.974e+02
4.755e-03,4.395e-03,1.051e+03,1.251e+03,5.609e+02
4.288e-03,3.963e-03,1.166e+03,1.388e+03,4.443e+02
3.866e-03,3.574e-03,1.293e+03,1.539e+03,3.461e+02
3.486e-03,3.222e-03,1.434e+03,1.707e+03,2.642e+02
3.144e-03,2.906e-03,1.590e+03,1.893e+03,1.972e+02
2.835e-03,2.620e-03,1.764e+03,2.099e+03,1.429e+02
2.556e-03,2.363e-03,1.956e+03,2.328e+03,9.906e+01
2.305e-03,2.130e-03,2.169e+03,2.582e+03,6.492e+01
2.079e-03,1.921e-03,2.406e+03,2.863e+03,4.022e+01
1.874e-03,1.732e-03,2.668e+03,3.175e+03,2.339e+01
1.690e-03,1.562e-03,2.959e+03,3.521e+03,1.212e+01
1.524e-03,1.408e-03,3.281e+03,3.905e+03,4.968e+00
1.374e-03,1.270e-03,3.639e+03,4.330e+03,1.249e+00
1.239e-03,1.145e-03,4.035e+03,4.803e+03,9.370e-02
1.117e-03,1.033e-03,4.475e+03,5.326e+03,5.199e-03
1.007e-03,9.312e-04,4.963e+03,5.906e+03,4.810e-04
1.237e-02,1.137e-02,4.448e+02,5.276e+02,1.953e+03
1.115e-02,1.025e-02,4.933e+02,5.851e+02,1.697e+03
1.005e-02,9.246e-03,5.470e+02,6.489e+02,1.462e+03
9.067e-03,8.338e-03,6.066e+02,7.196e+02,1.248e+03
8.175e-03,7.518e-03,6.728e+02,7.981e+02,1.056e+03
7.372e-03,6.780e-03,7.461e+02,8.850e+02,8.835e+02
6.647e-03,6.113e-03,8.274e+02,9.815e+02,7.306e+02
5.994e-03,5.512e-03,9.175e+02,1.088e+03,5.971e+02
5.405e-03,4.970e-03,1.018e+03,1.207e+03,4.815e+02
4.874e-03,4.482e-03,1.128e+03,1.339e+03,3.827e+02
4.395e-03,4.041e-03,1.252e+03,1.485e+03,2.992e+02
3.963e-03,3.644e-03,1.388e+03,1.646e+03,2.294e+02
3.573e-03,3.286e-03,1.539e+03,1.826e+03,1.720e+02
3.222e-03,2.963e-03,1.707e+03,2.025e+03,1.256e+02
2.905e-03,2.672e-03,1.893e+03,2.246e+03,8.859e+01
2.620e-03,2.409e-03,2.099e+03,2.490e+03,5.897e+01
2.362e-03,2.173e-03,2.328e+03,2.762e+03,3.660e+01
2.130e-03,1.959e-03,2.582e+03,3.063e+03,2.127e+01
1.921e-03,1.767e-03,2.863e+03,3.397e+03,1.159e+01
1.732e-03,1.593e-03,3.175e+03,3.767e+03,5.554e+00
1.562e-03,1.436e-03,3.521e+03,4.177e+03,1.978e+00
1.408e-03,1.295e-03,3.905e+03,4.632e+03,3.548e-01
1.270e-03,1.168e-03,4.331e+03,5.137e+03,8.550e-03
1.145e-03,1.053e-03,4.803e+03,5.697e+03,1.159e-05
1.033e-03,9.496e-04,5.326e+03,6.318e+03,3.796e-07
1.261e-02,1.155e-02,4.758e+02,5.627e+02,1.445e+03
1.137e-02,1.042e-02,5.276e+02,6.239e+02,1.249e+03
1.025e-02,9.393e-03,5.852e+02,6.920e+02,1.069e+03
9.246e-03,8.471e-03,6.489e+02,7.674e+02,9.062e+02
8.337e-03,7.638e-03,7.197e+02,8.510e+02,7.600e+02
7.518e-03,6.888e-03,7.981e+02,9.437e+02,6.307e+02
6.779e-03,6.210e-03,8.851e+02,1.047e+03,5.172e+02
6.113e-03,5.600e-03,9.815e+02,1.161e+03,4.184e+02
5.512e-03,5.050e-03,1.089e+03,1.287e+03,3.338e+02
4.970e-03,4.554e-03,1.207e+03,1.427e+03,2.621e+02
4.482e-03,4.106e-03,1.339e+03,1.583e+03,2.021e+02
4.041e-03,3.703e-03,1.485e+03,1.756e+03,1.524e+02
3.644e-03,3.338e-03,1.647e+03,1.947e+03,1.119e+02
3.286e-03,3.011e-03,1.826e+03,2.159e+03,7.981e+01
2.963e-03,2.715e-03,2.025e+03,2.395e+03,5.458e+01
2.672e-03,2.448e-03,2.246e+03,2.655e+03,3.467e+01
2.409e-03,2.207e-03,2.490e+03,2.945e+03,2.015e+01
2.173e-03,1.990e-03,2.762e+03,3.266e+03,1.084e+01
1.959e-03,1.795e-03,3.063e+03,3.622e+03,5.450e+00
1.767e-03,1.618e-03,3.397e+03,4.016e+03,2.403e+00
1.593e-03,1.459e-03,3.767e+03,4.454e+03,7.526e-01
1.436e-03,1.316e-03,4.177e+03,4.940e+03,9.955e-02
