ptmin(GeV),ptmax(GeV),y,xsec(pb)
9,9.5,5.9310,3.0117e+01
9,9.5,6.0345,2.0982e+01
9,9.5,6.1379,1.3845e+01
9,9.5,6.2414,8.5747e+00
9,9.5,6.3448,4.9849e+00
9,9.5,6.4483,2.6422e+00
9,9.5,6.5517,9.9470e-01
9,9.5,6.6552,1.5274e-01
9,9.5,6.7586,1.7474e-02
9,9.5,6.8621,3.4973e-03
9,9.5,6.9655,5.3673e-04
9,9.5,7.0690,3.5078e-05
9,9.5,7.1724,5.8228e-08
9,9.5,7.2759,0.0000e+00
9,9.5,7.3793,0.0000e+00
9,9.5,7.4828,0.0000e+00
9,9.5,7.5862,0.0000e+00
9,9.5,7.6897,0.0000e+00
9,9.5,7.7931,0.0000e+00
9,9.5,7.8965,0.0000e+00
9,9.5,8.0000,0.0000e+00
9.5,10,5.0000,2.1226e+02
9.5,10,5.1034,1.7572e+02
9.5,10,5.2069,1.4356e+02
9.5,10,5.3103,1.1571e+02
9.5,10,5.4138,9.1918e+01
9.5,10,5.5172,7.1789e+01
9.5,10,5.6207,5.4980e+01
9.5,10,5.7241,4.1136e+01
9.5,10,5.8276,3.0020e+01
9.5,10,5.9310,2.1323e+01
9.5,10,6.0345,1.4551e+01
9.5,10,6.1379,9.3136e+00
9.5,10,6.2414,5.5598e+00
9.5,10,6.3448,3.0840e+00
9.5,10,6.4483,1.5534e+00
9.5,10,6.5517,5.1392e-01
9.5,10,6.6552,4.1631e-02
9.5,10,6.7586,1.1709e-03
9.5,10,6.8621,1.5558e-04
9.5,10,6.9655,1.7182e-05
9.5,10,7.0690,6.5650e-07
9.5,10,7.1724,0.0000e+00
9.5,10,7.2759,0.0000e+00
9.5,10,7.3793,0.0000e+00
9.5,10,7.4828,0.0000e+00
9.5,10,7.5862,0.0000e+00
9.5,10,7.6897,0.0000e+00
9.5,10,7.7931,0.0000e+00
9.5,10,7.8965,0.0000e+00
9.5,10,8.0000,0.0000e+00
