epsilon,mass,n_expected
1.3219411484660288e-07,0.1006060606060606,0.009031183502627663
1.519911082952933e-07,0.1006060606060606,0.01577630924968526
1.747528400007683e-07,0.1006060606060606,0.02755583309934722
2.009233002565046e-07,0.1006060606060606,0.04812294030721288
2.310129700083158e-07,0.1006060606060606,0.08402313687629373
2.656087782946684e-07,0.1006060606060606,0.14666424138679532
3.0538555088334124e-07,0.1006060606060606,0.25591116404032005
3.5111917342151277e-07,0.1006060606060606,0.44631597738629314
4.037017258596558e-07,0.1006060606060606,0.7778860761840549
4.641588833612782e-07,0.1006060606060606,1.35462935667053
5.336699231206313e-07,0.1006060606060606,2.356340745006083
6.135907273413176e-07,0.1006060606060606,4.092737315158744
7.054802310718645e-07,0.1006060606060606,7.094867806035481
8.111308307896872e-07,0.1006060606060606,12.267687390408856
9.326033468832199e-07,0.1006060606060606,21.14075700922263
1.0722672220103232e-06,0.1006060606060606,36.271385346329666
1.232846739442066e-06,0.1006060606060606,61.87369551500176
1.4174741629268049e-06,0.1006060606060606,104.758893833915
1.6297508346206435e-06,0.1006060606060606,175.65350699008997
1.873817422860383e-06,0.1006060606060606,290.8676155511448
2.1544346900318865e-06,0.1006060606060606,474.0418403046069
2.477076355991714e-06,0.1006060606060606,757.2386266033523
2.848035868435805e-06,0.1006060606060606,1179.996358171306
3.2745491628777315e-06,0.1006060606060606,1784.5018390589823
3.764935806792471e-06,0.1006060606060606,2605.6669322920197
4.328761281083061e-06,0.1006060606060606,3657.67601065697
4.977023564332114e-06,0.1006060606060606,4922.853682271028
5.72236765935022e-06,0.1006060606060606,6349.858819478953
6.579332246575683e-06,0.1006060606060606,7860.8878083631
7.564633275546291e-06,0.1006060606060606,9357.720609475959
8.697490026177835e-06,0.1006060606060606,10721.308144721355
1e-05,0.1006060606060606,11815.551687091436
1.1497569953977357e-05,0.1006060606060606,12503.957425729326
1.3219411484660286e-05,0.1006060606060606,12671.766303010365
1.5199110829529332e-05,0.1006060606060606,12245.38031313109
1.747528400007683e-05,0.1006060606060606,11210.266943375986
2.0092330025650458e-05,0.1006060606060606,9630.260886274556
2.310129700083158e-05,0.1006060606060606,7663.14535021788
2.656087782946684e-05,0.1006060606060606,5554.880483326927
3.053855508833412e-05,0.1006060606060606,3592.1188998024973
